,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,0.0,0.0,0.045,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.727,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0
11,0.0,0.055,0.0,0.111,0.0,0.055,0.0,0.0,0.0,0.111,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.055,0.0,0.0
12,0.0,0.0,0.047,0.0,0.0,0.095,0.0,0.0,0.19,0.047,0.0,0.095,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0
13,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.055,0.055,0.055,0.055,0.055,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.111
15,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.055,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.055,0.0,0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.055,0.055,0.0,0.055,0.0,0.0,0.055,0.222,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.105,0.0,0.052,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.052,0.0,0.052,0.0,0.578,0.0,0.0,0.0,0.0,0.052,0.0,0.0
20,0.055,0.0,0.0,0.0,0.0,0.166,0.055,0.055,0.055,0.111,0.0,0.0,0.055,0.0,0.0,0.055,0.111,0.0,0.055,0.055,0.166,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.055,0.0,0.055,0.111,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.611,0.0,0.0,0.0,0.0,0.0
